id,tripId,authorId,stopId,body,createdAt
note_029,trip_029,usr_carlos28,stop_029,Local guide Ahmed is highly recommended — great value.,2025-03-19 00:00:00
note_030,trip_030,usr_diana29,stop_030,The mountain pass road is closed after heavy snow.,2025-05-06 00:00:00
note_031,trip_031,usr_ethan30,stop_031,Free WiFi is available in the main square and most cafés.,2025-05-27 00:00:00
note_032,trip_032,usr_fiona31,stop_032,The cooking class was a highlight of the whole trip.,2025-05-21 00:00:00
note_033,trip_033,usr_george32,stop_033,Tipping is not expected but always appreciated.,2025-04-02 00:00:00
note_034,trip_034,usr_hana33,stop_034,The botanical garden is free to enter and very peaceful.,2025-01-19 00:00:00
note_035,trip_035,usr_ivan34,stop_035,The border crossing took about 90 minutes — plan accordingly.,2025-03-23 00:00:00
note_036,trip_036,usr_julia35,stop_036,Photography is not allowed inside the temple.,2025-05-15 00:00:00
note_037,trip_037,usr_kevin36,stop_037,There is a pharmacy two blocks from the hotel.,2025-02-26 00:00:00
note_038,trip_038,usr_laura37,stop_038,The night bus is reliable and saves on accommodation.,2025-02-17 00:00:00
note_039,trip_039,usr_mike38,stop_039,The city card offers unlimited transit and museum discounts.,2025-05-14 00:00:00
note_040,trip_040,usr_nina39,stop_040,Arrive at the viewpoint before sunrise for the best colors.,2025-01-18 00:00:00
note_041,trip_041,usr_oscar40,stop_041,The ferry to the island runs twice a day — check the schedule.,2025-05-10 00:00:00
note_042,trip_042,usr_priya41,stop_042,Luggage storage is available at the train station.,2025-02-10 00:00:00
note_043,trip_043,usr_raj42,stop_043,The hostel organized a brilliant free pub crawl.,2025-04-17 00:00:00
note_044,trip_044,usr_sara43,stop_044,Car rental is the only practical option in this region.,2025-05-20 00:00:00
note_045,trip_045,usr_tom44,stop_045,Carry a printed copy of your accommodation address.,2025-05-18 00:00:00
note_046,trip_046,usr_ursula45,stop_046,The local wine is exceptional and very affordable.,2025-04-14 00:00:00
note_047,trip_047,usr_victor46,stop_047,The beach bar happy hour starts at 4 PM.,2025-01-24 00:00:00
note_048,trip_048,usr_willa47,stop_048,Wild camping is permitted in this national park.,2025-03-31 00:00:00
note_049,trip_049,usr_xavier48,stop_049,The tourist office has great free maps.,2025-02-26 00:00:00
note_050,trip_050,usr_yuki49,stop_050,This stop deserves at least two nights.,2025-02-24 00:00:00
note_051,trip_051,usr_zach50,stop_051,Buy the multi-day transit pass — it pays off quickly.,2025-06-19 00:00:00
note_052,trip_052,usr_amira51,stop_052,The concert in the square tonight is free entry.,2025-03-26 00:00:00
note_053,trip_053,usr_bruno52,stop_053,Bargaining is expected and part of the shopping culture.,2025-03-26 00:00:00
note_054,trip_054,usr_cleo53,stop_054,The rooftop restaurant has the best views in town.,2025-04-03 00:00:00
note_055,trip_055,usr_dina54,stop_055,Check the tidal schedule before walking to the island.,2025-03-17 00:00:00
